,ReserveStatus,Male,Price,CouponDiscount,Domestic,TripReason,Vehicle,Cancel,From_encoded,to_encoded,Days_Difference,Family_Members,Ticket_Count
0,5,1,6600000.0,34425.0,1,1,2,0,253,70,10,1,1
1,5,1,9500000.0,0.0,1,0,2,0,189,70,2,1,1
2,3,0,2000000.0,0.0,1,1,0,0,145,33,0,1,2
3,2,0,40000.0,0.0,1,0,3,0,65,73,0,2,3
4,3,1,1130000.0,0.0,1,0,0,0,70,207,1,1,1
5,3,1,940000.0,60000.0,1,1,0,0,49,70,11,1,1
6,5,1,9289000.0,0.0,1,1,2,0,70,145,7,1,1
7,3,1,2480000.0,0.0,1,1,0,0,70,145,0,1,1
8,3,1,1220000.0,0.0,1,1,0,0,70,27,0,1,1
9,3,1,1300000.0,0.0,1,0,0,0,70,65,3,1,1
10,2,1,4292000.0,0.0,1,0,3,0,27,189,0,1,1
11,5,0,6053000.0,0.0,1,1,2,0,27,70,0,1,1
12,2,1,926500.0,0.0,1,1,3,0,70,200,0,1,1
13,3,1,922500.0,0.0,1,0,0,0,27,145,0,1,1
14,2,1,1158500.0,0.0,1,0,3,0,263,70,17,1,2
15,5,1,16087000.0,0.0,0,1,1,0,70,206,0,1,1
16,3,1,813000.0,0.0,1,0,0,0,110,70,16,1,3
17,5,1,13241000.0,0.0,1,0,2,0,60,189,12,1,1
18,5,1,9357000.0,0.0,1,1,2,0,33,70,1,1,1
19,3,0,2640000.0,0.0,1,1,0,0,70,45,0,1,1
20,5,1,9814000.0,0.0,1,1,2,0,33,27,1,1,1
21,3,0,2600000.0,0.0,1,1,0,0,145,240,1,1,1
22,3,1,2950000.0,0.0,1,1,0,0,14,190,2,1,2
23,2,1,2603000.0,0.0,1,1,3,0,263,70,0,1,2
24,3,1,1850000.0,0.0,1,1,0,0,190,70,0,1,1
25,3,1,1910000.0,0.0,1,0,0,0,70,190,0,1,2
26,5,1,790000.0,0.0,1,0,0,1,70,39,2,1,1
27,2,1,2043000.0,0.0,1,0,3,0,70,189,3,1,1
28,3,0,2300000.0,0.0,1,0,0,0,169,241,7,1,1
29,5,0,8626000.0,0.0,1,1,2,0,70,233,0,1,1
30,5,1,8815000.0,0.0,1,1,2,0,70,65,2,1,1
31,5,0,9357000.0,50000.0,1,1,2,0,33,70,0,1,1
32,3,1,1705000.0,0.0,1,1,0,0,27,153,1,1,1
33,5,1,10496000.0,0.0,1,1,2,0,132,70,14,1,1
34,2,1,2457000.0,0.0,1,0,3,0,145,70,17,1,4
35,3,1,2575000.0,0.0,1,1,0,0,33,199,6,1,1
36,3,0,935000.0,0.0,1,1,0,0,27,70,1,1,1
37,3,1,2030000.0,0.0,1,1,0,0,27,213,3,1,1
38,3,0,1080000.0,0.0,1,0,0,0,70,212,0,1,1
39,3,1,1300000.0,15120.0,1,0,0,0,70,50,0,1,1
40,2,0,7841500.0,0.0,1,0,3,0,240,189,16,1,2
41,2,0,1158500.0,0.0,1,1,3,0,263,70,9,1,1
42,3,1,1460000.0,0.0,1,1,0,0,253,70,2,1,1
43,5,0,6963000.0,0.0,1,0,2,1,70,253,10,1,1
44,3,0,1100000.0,0.0,1,1,0,0,145,171,1,1,1
45,5,1,1220000.0,0.0,1,1,0,1,70,27,1,1,1
