,Created,Price,CouponDiscount,Income
0,2022-01-31,56563160,182200,56380960
1,2022-02-28,11345612332,16906716,11328705616
2,2022-03-31,15633303828,16710531,15616593297
3,2022-04-30,17367007919,25105835,17341902084
4,2022-05-31,27308172059,58275441,27249896618
5,2022-06-30,25986251631,42767365,25943484266
6,2022-07-31,42927604133,48719510,42878884623
7,2022-08-31,66252926089,105037841,66147888248
8,2022-09-30,59408044295,91093348,59316950947
9,2022-10-31,53524825765,73835308,53450990457
10,2022-11-30,3766959742,3865103,3763094639
